Media Market,Registered Voters,Total Ballots Cast,Democratic Ballots Cast,Republican Ballots Cast
Cincinnati,	17051,	3726,	495,	3231
Lima,	66369,	14064,	2642,	11283
Cleveland,	34426,	9226,	1258,	7837
Cleveland,	60645,	13741,	4113,	9111
Charleston,	38789,	6684,	3369,	3254
Dayton,	32075,	7577,	808,	6742
Cincinnati,	28641,	5253,	839,	4409
Wheeling,	44658,	9604,	2606,	6998
Cincinnati,	253180,	42771,	8709,	33635
Cleveland,	18258,	4659,	831,	3820
Dayton,	26230,	7017,	1009,	5961
Dayton,	88003,	21224,	5388,	15290
Cincinnati,	143782,	27958,	4720,	23085
Cincinnati,	27215,	6500,	908,	5450
Youngstown,	65184,	14462,	2858,	11592
Columbus,	22289,	7011,	947,	6059
Columbus,	27813,	7123,	1065,	5861
Cleveland,	872424,	163961,	95669,	66366
Dayton,	34056,	10942,	1061,	9720
Toledo,	26226,	6625,	1260,	5217
Columbus,	153422,	37009,	9142,	27676
Cleveland,	53509,	11222,	3663,	7519
Columbus,	108726,	22698,	4779,	17817
Columbus,	16893,	3943,	539,	3338
Columbus,	865956,	147485,	72750,	73225
Toledo,	29311,	9320,	1542,	6962
Charleston,	18744,	5230,	676,	4520
Cleveland,	67315,	20537,	3584,	16867
Dayton,	117990,	30036,	7051,	22244
Wheeling,	24213,	4929,	1028,	3897
Cincinnati,	588254,	98141,	41100,	56166
Toledo,	51281,	12043,	1882,	9950
Columbus,	17840,	4567,	590,	3956
Wheeling,	10019,	2649,	611,	1998
Toledo,	19686,	4311,	679,	3622
Cincinnati,	26940,	5139,	662,	4477
Columbus,	18311,	4212,	1041,	3164
Cleveland,	18074,	3965,	437,	3527
Cleveland,	36347,	7657,	1554,	5949
Charleston,	20658,	3160,	449,	2699
Wheeling,	46565,	9225,	2892,	6217
Columbus,	41627,	9888,	1646,	8214
Cleveland,	160736,	42816,	12000,	29054
Charleston,	42342,	8650,	1488,	7083
Columbus,	123936,	28013,	6483,	21049
Dayton,	31900,	7852,	914,	6887
Cleveland,	216617,	45676,	17992,	26128
Toledo,	293122,	43890,	20220,	22096
Columbus,	25758,	6337,	953,	5246
Youngstown,	162568,	37786,	16299,	20995
Columbus,	39335,	9102,	2019,	6936
Cleveland,	130602,	33057,	7778,	24037
Charleston,	14888,	3468,	506,	2934
Dayton,	29332,	9561,	937,	8438
Dayton,	75333,	16457,	2497,	13953
Wheeling,	9222,	2036,	661,	1372
Dayton,	365063,	78078,	29862,	47112
Columbus,	9201,	2744,	379,	2357
Columbus,	24928,	7620,	1004,	6506
Zanesville,	54414,	10829,	1993,	8823
Wheeling,	8020,	1982,	404,	1578
Toledo,	30323,	8506,	2267,	5609
Ft. Wayne,	12622,	3348,	519,	2826
Columbus,	22481,	5949,	1147,	4680
Columbus,	36395,	8568,	1450,	7083
Columbus,	17714,	2506,	626,	1861
Cleveland,	106411,	24065,	8527,	15116
Dayton,	28330,	6964,	858,	5995
Toledo,	23658,	5925,	663,	5262
Cleveland,	81163,	19769,	3833,	15632
Columbus,	45681,	9017,	2128,	6788
Toledo,	39687,	10687,	2380,	8063
Charleston,	45068,	7741,	1733,	5974
Toledo,	34133,	9983,	1827,	8029
Dayton,	32527,	7715,	896,	6785
Cleveland,	247564,	56430,	16122,	39885
Cleveland,	366596,	76570,	31502,	43186
Youngstown,	135623,	35028,	16858,	17855
Cleveland,	58619,	10886,	2707,	8111
Columbus,	42482,	9975,	1611,	8296
Ft. Wayne,	20113,	5637,	715,	4764
Charleston,	8462,	1585,	302,	1283
Cincinnati,	168788,	34642,	6112,	28490
Parkersburg,	42258,	9490,	2059,	7055
Cleveland,	73141,	17577,	3306,	14072
Toledo,	24971,	6076,	844,	5191
Toledo,	92153,	17577,	5290,	12034
Toledo,	15027,	3713,	561,	3046
